micros,ax,ay,az,gx,gy,gz
0,-6304,-808,15660,297,2153,-17585
2000,-6244,-876,15512,271,2201,-17530
4004,-6228,-920,15516,298,2269,-17481
6000,-6112,-1032,15472,265,2293,-17460
8004,-5988,-996,15400,258,2281,-17380
10000,-6024,-1032,15468,235,2362,-17334
12000,-5940,-1004,15264,247,2377,-17296
14000,-5840,-996,15232,249,2429,-17298
16000,-5832,-1080,15036,265,2470,-17215
18004,-5744,-1004,15244,273,2431,-17234
20000,-5744,-1124,14988,308,2482,-17217
22000,-5652,-1156,15020,266,2492,-17163
24000,-5660,-1188,14952,302,2521,-17142
26000,-5740,-1292,14924,306,2571,-17089
28000,-5696,-1316,14968,317,2614,-17028
30000,-5704,-1320,14864,347,2656,-16975
32000,-5748,-1316,15004,323,2708,-16895
34000,-5692,-1336,15116,359,2732,-16825
36000,-5744,-1376,15036,401,2734,-16770
38000,-5800,-1320,15228,389,2693,-16682
40004,-5784,-1404,15236,404,2663,-16606
42000,-5808,-1328,15292,410,2619,-16498
44000,-5792,-1272,15352,429,2588,-16412
46000,-5804,-1228,15476,496,2543,-16329
48000,-5780,-1220,15464,495,2431,-16216
50000,-5812,-1228,15772,533,2384,-16058
52000,-5820,-1156,15896,576,2257,-15930
54000,-5824,-1144,16120,592,2146,-15847
56000,-5876,-1100,16216,636,2001,-15730
58000,-5832,-1148,16344,677,1894,-15582
60000,-5884,-1100,16408,697,1799,-15473
62000,-5860,-1116,16472,679,1674,-15342
64000,-5868,-1108,16632,700,1549,-15230
66004,-5884,-1156,16632,701,1387,-15158
68000,-5932,-1132,16756,661,1232,-15015
70000,-6012,-1124,16668,689,1107,-14918
72000,-6092,-1136,16604,651,932,-14750
74000,-6168,-1148,16652,623,737,-14616
76000,-6184,-1128,16564,556,572,-14525
78000,-6152,-1188,16496,446,425,-14436
80000,-6116,-1188,16412,310,255,-14332
82000,-6044,-1228,16404,256,104,-14246
84004,-6080,-1208,16556,165,-19,-14153
86000,-6128,-1180,16536,68,-179,-14066
88000,-6108,-1144,16460,-8,-357,-14003
90000,-6084,-1292,16424,-99,-529,-13869
92000,-6024,-1220,16340,-190,-673,-13747
94000,-5940,-1304,16316,-215,-773,-13639
96000,-5892,-1312,16208,-317,-875,-13520
98000,-5824,-1356,16064,-363,-934,-13368
100000,-5784,-1452,16012,-434,-1008,-13260
102000,-5772,-1436,16036,-520,-1064,-13133
104000,-5732,-1412,15888,-580,-1143,-13001
106000,-5588,-1460,15728,-588,-1219,-12896
108000,-5556,-1496,15700,-680,-1239,-12775
110000,-5604,-1528,15612,-740,-1164,-12651
112000,-5236,-1608,15208,-756,-1405,-12540
114000,-5304,-1616,15232,-835,-1317,-12358
116000,-5424,-1688,15256,-900,-1383,-12252
118000,-5348,-1788,15060,-899,-1389,-12106
120000,-5408,-1924,14908,-1000,-1336,-12001
122000,-5368,-2008,14788,-1067,-1270,-11834
124000,-5344,-2204,14664,-1127,-1153,-11764
126000,-5240,-2380,14484,-1199,-1130,-11670
128000,-5388,-2564,14412,-1249,-972,-11605
130000,-5280,-2788,14264,-1318,-834,-11544
132000,-5328,-3024,14276,-1411,-705,-11502
134000,-5356,-3092,14348,-1491,-584,-11448
136004,-5376,-3244,14232,-1545,-423,-11447
138000,-5428,-3312,14264,-1678,-348,-11441
140000,-5380,-3440,14208,-1716,-231,-11485
142000,-5488,-3536,14372,-1809,-100,-11565
144004,-5536,-3540,14332,-1852,-16,-11569
146000,-5552,-3532,14416,-1874,130,-11660
148000,-5620,-3532,14504,-1928,288,-11749
150000,-5648,-3512,14496,-1983,411,-11810
152000,-5720,-3504,14616,-2002,429,-11836
154000,-5704,-3396,14724,-1987,568,-11870
156000,-5648,-3316,14784,-2004,609,-11921
158000,-5680,-3280,14992,-2017,692,-11913
160000,-5588,-3100,14900,-1978,695,-11973
162000,-5568,-3020,15072,-1998,695,-11944
164000,-5524,-2960,15228,-1963,688,-11915
166000,-5472,-2872,15344,-1910,706,-11885
168004,-5416,-2764,15512,-1871,701,-11872
170000,-5388,-2704,15724,-1840,678,-11780
172000,-5272,-2660,15832,-1829,589,-11715
174000,-5304,-2516,16100,-1730,550,-11627
176000,-5368,-2352,15948,-1753,485,-11563
178000,-5036,-2268,15720,-1830,444,-11467
180000,-5140,-2388,16108,-1826,319,-11348
182000,-5352,-2204,16664,-1794,212,-11211
184000,-5312,-2236,16700,-1796,151,-11074
186000,-5116,-2212,16644,-1807,38,-10977
188000,-5188,-2196,16732,-1819,-104,-10756
190000,-5156,-2176,16916,-1777,-192,-10616
192000,-5188,-2192,16868,-1735,-296,-10449
194000,-5244,-2112,16820,-1754,-469,-10275
196000,-5156,-2188,16668,-1711,-612,-10111
198000,-5196,-2160,16568,-1749,-753,-9954
200000,-5084,-2196,16256,-1737,-848,-9781
202000,-5104,-2260,16228,-1770,-953,-9598
204000,-4980,-2328,15920,-1825,-1057,-9478
206000,-4996,-2448,15884,-1890,-1148,-9314
208000,-4896,-2596,15648,-2001,-1208,-9183
210000,-4856,-2708,15360,-2060,-1177,-9102
212004,-4800,-2796,15280,-2161,-1184,-8997
214000,-4680,-2988,14980,-2240,-1142,-8906
216000,-4676,-3036,14804,-2322,-1036,-8810
218000,-4632,-3220,14624,-2404,-994,-8812
220000,-4524,-3376,14756,-2465,-845,-8778
222000,-4460,-3528,14528,-2489,-694,-8790
224000,-4460,-3816,14548,-2564,-508,-8800
226000,-4460,-3840,14444,-2550,-293,-8846
228000,-4504,-3976,14492,-2538,-102,-8928
230000,-4532,-4124,14480,-2557,82,-8977
232000,-4476,-4192,14472,-2512,287,-9015
234000,-4552,-4328,14540,-2496,457,-9179
236000,-4524,-4364,14532,-2446,555,-9223
238000,-4604,-4440,14648,-2387,646,-9320
240000,-4520,-4472,14812,-2379,752,-9407
242000,-4584,-4496,14944,-2326,869,-9523
244000,-4616,-4436,15004,-2224,902,-9680
246000,-4716,-4440,15268,-2146,894,-9740
248000,-4792,-4428,15312,-2048,857,-9844
250000,-4832,-4440,15452,-1984,758,-9969
252000,-4904,-4452,15652,-1880,627,-10043
254000,-4948,-4352,15756,-1764,437,-10147
256000,-4972,-4388,15900,-1674,276,-10221
258000,-5000,-4284,15892,-1570,110,-10294
260000,-5068,-4304,15928,-1476,-110,-10340
262000,-5024,-4256,16028,-1352,-280,-10371
264004,-5072,-4184,16112,-1233,-451,-10370
266000,-5028,-4152,15952,-1118,-650,-10422
268000,-4960,-4136,15972,-1045,-811,-10427
270000,-4968,-4084,15960,-927,-975,-10409
272000,-4924,-4096,16000,-804,-1115,-10418
274004,-4804,-4064,15936,-785,-1283,-10396
276000,-4724,-3932,16000,-659,-1412,-10408
278000,-4640,-3940,15924,-604,-1524,-10363
280000,-4520,-3856,15868,-515,-1596,-10279
282000,-4484,-3788,15752,-433,-1618,-10326
284000,-4360,-3760,15692,-395,-1684,-10214
286000,-4236,-3780,15540,-369,-1633,-10164
288000,-4060,-3720,15456,-316,-1662,-10133
290000,-3896,-3656,15116,-323,-1608,-10095
292000,-3752,-3656,14920,-278,-1520,-10051
294000,-3620,-3780,14792,-306,-1390,-10038
296004,-3476,-3800,14704,-233,-1236,-10050
298000,-3536,-3856,14692,-233,-995,-10086
300000,-3416,-3924,14572,-205,-751,-10169
302000,-3480,-3988,14692,-195,-506,-10247
304000,-3536,-4188,14768,-159,-234,-10396
