micros,ax,ay,az,gx,gy,gz
0,-956,712,16632,111,-298,-7
2004,-956,700,16656,108,-285,-11
4000,-868,736,16600,142,-292,-7
6000,-848,736,16544,102,-297,-39
8000,-916,716,16620,113,-300,-14
10000,-884,736,16644,112,-298,-25
12000,-924,748,16608,142,-251,-29
14000,-900,692,16636,109,-307,-12
16000,-912,688,16668,110,-285,-20
18000,-956,740,16696,104,-302,-17
20000,-908,740,16752,142,-280,-11
22000,-948,760,16716,105,-306,-1
24000,-948,708,16732,143,-280,-25
26000,-872,692,16644,151,-279,-31
28000,-872,692,16648,110,-305,-30
30000,-940,772,16588,104,-312,-8
32000,-900,712,16664,126,-287,-59
34000,-888,656,16472,82,-318,-14
36000,-952,664,16620,126,-314,-30
38000,-940,684,16580,148,-308,-28
40000,-928,680,16604,124,-267,-59
42000,-952,688,16652,95,-287,-41
44000,-956,652,16704,111,-303,-43
46000,-940,668,16708,122,-293,-11
48000,-976,660,16720,104,-294,-16
50000,-1004,692,16636,131,-259,-21
52000,-916,688,16580,127,-289,-18
54000,-952,676,16660,126,-292,-16
56004,-988,732,16612,137,-286,-37
58000,-888,644,16612,116,-312,-34
60004,-900,700,16664,123,-281,-29
62000,-896,648,16720,117,-280,-22
64000,-892,644,16568,122,-307,-28
66000,-912,712,16696,126,-292,-12
68000,-904,696,16664,105,-273,-23
70000,-948,680,16744,83,-275,-18
72000,-920,652,16616,133,-291,-32
74004,-956,664,16604,113,-318,-25
76000,-880,668,16688,113,-261,-13
78000,-952,640,16708,118,-293,-7
80004,-948,752,16692,100,-321,-26
82000,-936,692,16612,121,-244,-27
84000,-904,676,16716,112,-269,-15
86000,-952,668,16640,128,-300,-9
88000,-944,716,16600,155,-292,-24
90004,-960,668,16692,103,-272,-1
92000,-956,708,16656,126,-301,-33
94000,-952,688,16796,119,-292,3
96000,-940,720,16700,106,-286,-30
98000,-900,680,16676,130,-289,-51
100000,-868,720,16632,121,-302,-26
102000,-940,732,16652,130,-303,-28
104000,-952,716,16644,162,-278,26
106000,-892,692,16768,94,-287,-6
108000,-940,768,16644,120,-281,-21
110000,-916,712,16640,111,-314,6
112000,-916,676,16552,100,-296,-9
114000,-896,704,16660,91,-264,-30
116000,-900,720,16580,116,-259,-11
118008,-924,764,16744,133,-303,-28
120004,-856,640,16700,120,-287,-35
122000,-880,676,16636,124,-283,-28
124004,-944,736,16612,114,-312,-11
126000,-956,724,16652,134,-298,-45
128000,-944,716,16620,174,-278,23
130000,-916,676,16552,117,-285,-14
132000,-940,700,16636,88,-295,-11
134000,-896,704,16576,124,-277,-23
136000,-920,692,16704,71,-317,1
138004,-956,684,16680,114,-310,-14
140000,-980,704,16680,108,-287,-19
142000,-888,728,16696,122,-268,-7
144000,-836,684,16644,125,-283,-18
146000,-952,752,16704,130,-283,-16
148000,-872,720,16708,125,-285,-42
150000,-948,708,16676,115,-308,-11
152000,-876,736,16568,112,-285,-49
154004,-936,708,16612,100,-309,-26
156000,-964,716,16628,154,-288,2
158000,-924,696,16596,147,-281,-37
160000,-924,696,16600,115,-297,-23
162000,-984,684,16588,100,-265,-4
164000,-868,704,16700,129,-295,-29
166000,-1004,724,16712,103,-296,-11
168000,-888,720,16548,116,-281,-25
170000,-904,704,16708,136,-276,-8
172000,-984,712,16588,129,-279,-14
174000,-920,692,16648,116,-258,-23
176000,-936,752,16704,103,-309,-52
178004,-904,684,16624,105,-299,-24
180000,-936,676,16628,92,-297,-26
182000,-996,632,16680,111,-291,-25
184000,-924,720,16664,122,-318,-12
186004,-924,724,16624,109,-290,-4
188000,-896,736,16636,116,-289,-16
190000,-864,696,16596,110,-284,-11
192000,-904,692,16616,105,-299,-38
194000,-896,752,16688,93,-288,-37
196000,-944,676,16752,100,-287,-2
